,Asan,Benefit1,Benefit2,preprocessed_benefit1,preprocessed_benefit2,label_ids
3745,anjaneyasana,It may help alleviate chronic pelvic pain in women.,Anjaneyasana stimulates reproductive systems.,may help alleviate chronic pelvic pain women,anjaneyasana stimulates reproductive systems,48
3746,prasarita padottanasana,reduces depression and boost your confidence level.,the nervous system is rejuvenated by this posture and the heart and lungs are electrified. People suffering from blood,reduces depression boost confidence level,nervous system rejuvenated posture heart lungs electrified people suffering blood,5
3747,ushtrasana,Stretches and opens the front of the body. It also strengthens the back and shoulders.,"The uterus is toned, and the urogenital system of the body is benefited.",stretches opens front body also strengthens back shoulders,uterus toned urogenital system body benefited,6
3748,parsvakonasana,"stretches and opens the hips, which can help to relieve tension and improve flexibility.",can help to calm the mind and reduce stress and anxiety.,stretches opens hips help relieve tension improve flexibility,help calm mind reduce stress anxiety,44
3749,ananda madirasana,Strengthens the back and leg muscles.,Improves Digestion,strengthens back leg muscles,improves digestion,2
3750,ardha kapotasana,Internal organs have better toning improving their functions,"The endocrine system which includes the pineal gland, pituitary gland, thyroid gland, adrenal gland and pancreas, gets stimulated with the deep stretch at the head, neck, chest and abdomen.",internal organs better toning improving functions,endocrine system includes pineal gland pituitary gland thyroid gland adrenal gland pancreas gets stimulated deep stretch head neck chest abdomen,0
3751,ardha kapotasana,Reproductive Systems improves with improved blood circulation,Improves the flexibility of the spine,reproductive systems improves improved blood circulation,improves flexibility spine,0
3752,ashta chandrasana,"The building of stamina and stability with awareness of the body, brings in fresh energy within the body to help reduce symptoms related to insomnia.","The expansion and extension of the thighs, hips, shoulders, arms and neck in this pose, works on burning the excess fat and keeps these muscles toned while adding a great toned look to the body.",building stamina stability awareness body brings fresh energy within body help reduce symptoms related insomnia,expansion extension thighs hips shoulders arms neck pose works burning excess fat keeps muscles toned adding great toned look body,38
3753,ananda madirasana,Helps in maintaining good posture.,"This asana is used primarily to awaken ajna chakra. It also calms the mind, relaxes the nervous system and gives all the benefits of vajrasana.",helps maintaining good posture,asana used primarily awaken ajna chakra also calms mind relaxes nervous system gives benefits vajrasana,2
3754,ardha katicakrasana,Reduces stiffness in the back and hips. Relieves backache.,Improves circulation and oxygenation of the body.,reduces stiffness back hips relieves backache,improves circulation oxygenation body,33
3755,ardha ushtrasana,It aids in digestion and constipation.,"The backward bend loosens up the vertebrae and stimulates the spinal nerves, relieving backache, rounded back and drooping shoulders.",aids digestion constipation,backward bend loosens vertebrae stimulates spinal nerves relieving backache rounded back drooping shoulders,24
3756,sirshasana,"It also helps to rectify many forms of nervous and glandular disorders, especially those related to the reproductive system.",This asana reverses the effect of gravity on the body.,also helps rectify many forms nervous glandular disorders especially related reproductive system,asana reverses effect gravity body,15
3757,bharadvajasana,"help to calm the mind, reduce stress and anxiety, and improve overall mental health and wellbeing.","Boosts the Parasympathetic Nervous System which is responsible for ‘rest-and-digest’, activities that occur when the body is at rest, especially after eating etc.",help calm mind reduce stress anxiety improve overall mental health wellbeing,boosts parasympathetic nervous system responsible ‘ restanddigest ’ activities occur body rest especially eating etc,9
3758,jathara parivartanasana,the Manipura Chakra is stimulated.,"With the twist contracting and stretching the muscles of the back, shoulders, and hips, helps to tone and shape the muscles. ",manipura chakra stimulated,twist contracting stretching muscles back shoulders hips helps tone shape muscles,30
3759,pada hastasana,It makes the spine flexible and tones the nerves.,helps diabetes.,makes spine flexible tones nerves,helps diabetes,22
3760,ardha katicakrasana,Alleviates constipation.,Improves posture and body alignment. Strengthens the pelvic floor muscles.,alleviates constipation,improves posture body alignment strengthens pelvic floor muscles,33
3761,parighasana,"stimulates the lymphatic system as one moves the arm overhead, as the armpit houses lymph nodes, which play an integral part in the body's immunity. ",helps increase the immunity of the body in various ways.,stimulates lymphatic system one moves arm overhead armpit houses lymph nodes play integral part bodys immunity,helps increase immunity body various ways,31
3762,jathara parivartanasana,the Manipura Chakra is stimulated.,"a great way for releasing the tensions accumulated at the psoas muscles, the neck and shoulders. When releasing these tensions, the body feels energized. ",manipura chakra stimulated,great way releasing tensions accumulated psoas muscles neck shoulders releasing tensions body feels energized,30
3763,supta trivikramasana,helps to achieve stability and calmness.,Doing it reduces all menopausal and menstrual disorders.,helps achieve stability calmness,reduces menopausal menstrual disorders,39
3764,dhanurasana,useful for the management of diabetes and menstrual disorders.,"The spinal column is realigned and the ligaments, muscles and nerves are activated, removing stiffness.",useful management diabetes menstrual disorders,spinal column realigned ligaments muscles nerves activated removing stiffness,28
3765,anjaneyasana,It may help alleviate chronic pelvic pain in women.,It may help improve body posture.,may help alleviate chronic pelvic pain women,may help improve body posture,48
3766,utkata konasana,Utkata Konasana helps to broaden the chest and correct postural defects.,"This asana massages the organs in the abdomen, particularly the kidneys, the ovaries, urinary system and the prostate gland.",utkata konasana helps broaden chest correct postural defects,asana massages organs abdomen particularly kidneys ovaries urinary system prostate gland,25
3767,ananda madirasana,Improves blood circulation in the body.,the body becomes upright and straight with no effort.,improves blood circulation body,body becomes upright straight effort,2
3768,supta trivikramasana,"By doing this asana, all the muscles of your legs become very strong.",Doing it reduces all menopausal and menstrual disorders.,asana muscles legs become strong,reduces menopausal menstrual disorders,39
3769,ardha matsyendrasana,This can relieve some mild pains caused by stiff back.,This pose massages the organs in the abdominal region. It improves digestion.,relieve mild pains caused stiff back,pose massages organs abdominal region improves digestion,4
3770,purvottanasana,Improves the alignment of the shoulders,Works well in improving the balance,improves alignment shoulders,works well improving balance,17
3771,gomukhasana,Gomukhasana is an excellent asana for inducing relaxation.,helps diabetes.,gomukhasana excellent asana inducing relaxation,helps diabetes,10
3772,phalakasana,it helps in remaining focused and improves concentration,"The muscles like the hamstrings, the quadriceps, calves too are put to work thus toning them and making them strong and flexible.",helps remaining focused improves concentration,muscles like hamstrings quadriceps calves put work thus toning making strong flexible,41
3773,pavanamuktasana,can help to relieve lower back pain by stretching and releasing tension in the lower back muscles.,The pushing of the knees towards the chest is an action which moderately opens the hip joints and simultaneously tones the glutes.,help relieve lower back pain stretching releasing tension lower back muscles,pushing knees towards chest action moderately opens hip joints simultaneously tones glutes,20
3774,gomukhasana,Gomukhasana helps to make the back flexible.,It can remove stiff shoulders and backpain.,gomukhasana helps make back flexible,remove stiff shoulders backpain,10
3775,vakrasana,Stimulates the nervous system and improves blood circulation.,stretches the spine and the muscles around it,stimulates nervous system improves blood circulation,stretches spine muscles around,36
3776,phalakasana,"The muscles around the shoulders, upper arms, forearms, and the wrists are toned and strengthened.","The core, abdominal muscles, are used to the maximum here and hence they get toned and give a great shape to the body.",muscles around shoulders upper arms forearms wrists toned strengthened,core abdominal muscles used maximum hence get toned give great shape body,41
3777,supta trivikramasana,"helps to build flexible hips, knees, and shoulders","By doing this asana, all the muscles of your legs become very strong.",helps build flexible hips knees shoulders,asana muscles legs become strong,39
3778,tadasana,This asana develops physical and mental balance.,"entire spine is stretched and loosened, helping to clear up congestion of the spinal nerves at the points where they emerge from the spinal column.",asana develops physical mental balance,entire spine stretched loosened helping clear congestion spinal nerves points emerge spinal column,8
3779,pada hastasana,All spinal nerves are stimulated and toned.,can help to increase spinal flexibility and mobility.,spinal nerves stimulated toned,help increase spinal flexibility mobility,22
3780,matsyasana,"It recirculates stagnant blood in the back, alleviating backache and cervical spondylitis.","It regulates the function of the thyroid gland and stimulates the thymus gland, boosting the immune system.",recirculates stagnant blood back alleviating backache cervical spondylitis,regulates function thyroid gland stimulates thymus gland boosting immune system,37
3781,gomukhasana,"alleviate tiredness, tension and anxiety.",Relieves menstrual discomfort: Gomukhasana can help to relieve menstrual discomfort and regulate the menstrual cycle.,alleviate tiredness tension anxiety,relieves menstrual discomfort gomukhasana help relieve menstrual discomfort regulate menstrual cycle,10
3782,padmasana,"This posture applies pressure to the lower spine, which has a relaxing effect on the nervous system. ","The breath becomes slow, muscular tension is decreased and blood pressure is reduced.",posture applies pressure lower spine relaxing effect nervous system,breath becomes slow muscular tension decreased blood pressure reduced,1
3783,vajrasana,Helps in reducing stress and anxiety.,It is a preventative measure against hernia and also helps to relieve piles.,helps reducing stress anxiety,preventative measure hernia also helps relieve piles,12
3784,tadasana,"helps to strengthen and tone the muscles in the legs, hips, and back.",encourages mindfulness and self-awareness by promoting focus and concentration on the present moment.,helps strengthen tone muscles legs hips back,encourages mindfulness selfawareness promoting focus concentration present moment,8
3785,purvottanasana,improves the arm strength and the leg strength.,Works well in improving the balance,improves arm strength leg strength,works well improving balance,17
3786,ardha kapotasana,Reproductive Systems improves with improved blood circulation,A great pose for toning the hips and sides of the back,reproductive systems improves improved blood circulation,great pose toning hips sides back,0
3787,pavanamuktasana,The toning of the lower body and the strengthening of the lower back combined with hip stability enhances the body posture.,This primarily enhances lower body flexibility.,toning lower body strengthening lower back combined hip stability enhances body posture,primarily enhances lower body flexibility,20
3788,setu bandhasana,"Strengthens the legs, glutes, and core: Setu Bandhasana engages the leg and glute muscles, as well as the core, helping to strengthen and tone these areas.","can help to open up the chest and shoulders, which can become tight from poor posture and sitting for long periods.",strengthens legs glutes core setu bandhasana engages leg glute muscles well core helping strengthen tone areas,help open chest shoulders become tight poor posture sitting long periods,18
3789,vakrasana,Reduces back pain by stretching and strengthening the spinal muscles.,stretches the spine and the muscles around it,reduces back pain stretching strengthening spinal muscles,stretches spine muscles around,36
3790,supta baddha konasana,"A good stretch for inner thighs, groin and knees, improving flexibility in these regions","can help to stimulate the abdominal organs, aiding in digestion and elimination.",good stretch inner thighs groin knees improving flexibility regions,help stimulate abdominal organs aiding digestion elimination,32
3791,kurmasana,Activates the abdominal organs improving digestion,"internal organs get activated, thus improving digestion",activates abdominal organs improving digestion,internal organs get activated thus improving digestion,23
3792,supta vajrasana,It loosens up the legs in preparation for sitting in meditation asanas. It redirects sexual energy to the brain for spiritual purposes.,can help to calm the mind and reduce stress and anxiety by promoting relaxation and deep breathing.,loosens legs preparation sitting meditation asanas redirects sexual energy brain spiritual purposes,help calm mind reduce stress anxiety promoting relaxation deep breathing,29
3793,ashta chandrasana,"With the muscles being activated, including the abdominal muscles, the digestive system and the reproductive system improve in their functions, thus reducing indigestion and problems related to the reproductive system.",Reduces the stiffness around the shoulders and neck,muscles activated including abdominal muscles digestive system reproductive system improve functions thus reducing indigestion problems related reproductive system,reduces stiffness around shoulders neck,38
3794,ardha katicakrasana,Tones the abdominal muscles.,Alleviates back pain and sciatica.,tones abdominal muscles,alleviates back pain sciatica,33
3795,makarasana,It gives deep relaxation to the shoulders and the spine.,can help to improve lung function and alleviate respiratory issues such as asthma and bronchitis.,gives deep relaxation shoulders spine,help improve lung function alleviate respiratory issues asthma bronchitis,47
3796,vajrasana,It is the best meditation asana for people suffering from sciatica.,Improves Digestion,best meditation asana people suffering sciatica,improves digestion,12
3797,prasarita padottanasana,"The breath is rhythmic and at its natural pace. The heart is relaxed with the increased venous capacity, and the back of the lungs expands due to the upper body stretch.",improves Awareness and Focus (Concentration),breath rhythmic natural pace heart relaxed increased venous capacity back lungs expands due upper body stretch,improves awareness focus concentration,5
3798,tadasana,can help to improve balance and stability by encouraging proper weight distribution through the feet.,Reduces stress and anxiety,help improve balance stability encouraging proper weight distribution feet,reduces stress anxiety,8
3799,adho mukha svanasana,it enhances the functions of the Nervous System. Hence it is good for stress and mental health related ailments.,This pose assists in the treatment of Asthma-related conditions and diabetes.,enhances functions nervous system hence good stress mental health related ailments,pose assists treatment asthmarelated conditions diabetes,7
3800,ananda madirasana,the body becomes upright and straight with no effort.,Improves Digestion,body becomes upright straight effort,improves digestion,2
3801,padmasana,"This posture applies pressure to the lower spine, which has a relaxing effect on the nervous system. ",The normally large blood flow to the legs is redirected to the abdominal region.,posture applies pressure lower spine relaxing effect nervous system,normally large blood flow legs redirected abdominal region,1
3802,ashta chandrasana,"helps the shoulders and the neck, reducing any stiffness. ","helps the shoulders and the neck get their equal share of stretch thus reducing any stiffness. This reduction of stiffness also improves the energy levels of the body, thus making the body feel completely light and making them strong",helps shoulders neck reducing stiffness,helps shoulders neck get equal share stretch thus reducing stiffness reduction stiffness also improves energy levels body thus making body feel completely light making strong,38
3803,ardha matsyendrasana,It stretches the muscles along the spinal column and tones the spinal nerves.,"Regulates the digestive system, thus improving digestion and easing constipation",stretches muscles along spinal column tones spinal nerves,regulates digestive system thus improving digestion easing constipation,4
3804,ashta chandrasana,"helps the shoulders and the neck, reducing any stiffness. ",helps asthma patients.,helps shoulders neck reducing stiffness,helps asthma patients,38
3805,vajrasana,Helps in weight loss by improving metabolism.,"It increases the blood circulation in the abdominal area, with the special fold of the legs creating a bandha.",helps weight loss improving metabolism,increases blood circulation abdominal area special fold legs creating bandha,12
3806,pada hastasana,It improves digestion and reduces constipation. It eliminates many stomach ailments.,can help to increase spinal flexibility and mobility.,improves digestion reduces constipation eliminates many stomach ailments,help increase spinal flexibility mobility,22
3807,ushtrasana,Improves digestion.,The expansion of the diaphragm is beneficial for respiration.,improves digestion,expansion diaphragm beneficial respiration,6
3808,ardha ushtrasana,"It improves the flexibity of the spine and is good for hunch back, cervial spondilitis, lumbago and other disorders of the spine.","This asana is beneficial for the digestive and reproductive systems. It stretches the stomach and intestines, alleviating constipation.",improves flexibity spine good hunch back cervial spondilitis lumbago disorders spine,asana beneficial digestive reproductive systems stretches stomach intestines alleviating constipation,24
3809,matsyasana,Stretches the chest and shoulders,"It recirculates stagnant blood in the back, alleviating backache and cervical spondylitis.",stretches chest shoulders,recirculates stagnant blood back alleviating backache cervical spondylitis,37
3810,vajrasana,Helps in reducing stress and anxiety.,Improves Digestion,helps reducing stress anxiety,improves digestion,12
3811,anjaneyasana,It may help alleviate chronic pelvic pain in women.,Anjaneyasana stretches both the anterior and posterior parts of the body from the toes to the fingertips.,may help alleviate chronic pelvic pain women,anjaneyasana stretches anterior posterior parts body toes fingertips,48
3812,dhanurasana,helps diabetes.,The back and spine are strengthened which can be beneficial for overall back health and posture.,helps diabetes,back spine strengthened beneficial overall back health posture,28
3813,utkata konasana,"Thus, this pose helps women in improving fertility and is also beneficial to those during childbirth.",Utkatasana tones the core muscles by tightening the abdominal muscles while holding the pose. Creating a tummy tuck while bringing the navel close to the spine tightens the abdominal muscles bringing strength and stimulating the digestive system.,thus pose helps women improving fertility also beneficial childbirth,utkatasana tones core muscles tightening abdominal muscles holding pose creating tummy tuck bringing navel close spine tightens abdominal muscles bringing strength stimulating digestive system,25
3814,padmasana,can help to increase spinal flexibility and mobility.,The normally large blood flow to the legs is redirected to the abdominal region.,help increase spinal flexibility mobility,normally large blood flow legs redirected abdominal region,1
3815,rajakapotasana,"The Lower back, hip, thighs, psoas, abdomen, chest, shoulders, neck, hamstring, pelvic, and calves are toned. The toning of these muscles adds to the overall toning of the entire outer body.",The chest muscles due to the expansion gives room for good functioning of the lungs and proper functioning of the heart.,lower back hip thighs psoas abdomen chest shoulders neck hamstring pelvic calves toned toning muscles adds overall toning entire outer body,chest muscles due expansion gives room good functioning lungs proper functioning heart,21
3816,padmasana,Facilitates mental and physical balance,"Since the blood is made to circulate in the lumbar region and the abdomen, the spine and the abdominal organs are toned.",facilitates mental physical balance,since blood made circulate lumbar region abdomen spine abdominal organs toned,1
3817,vajrasana,It is a preventative measure against hernia and also helps to relieve piles.,Heals Body,preventative measure hernia also helps relieve piles,heals body,12
3818,supta baddha konasana,Offers relief from menstrual discomfort and menopause symptoms,Supports overall health and well-being,offers relief menstrual discomfort menopause symptoms,supports overall health wellbeing,32
3819,ushtrasana,It is helpful for people suffering from asthma.,"The chest opening enhances the respiratory system, and ailments related to it, like asthma and bronchitis, can be treated by this practice.",helpful people suffering asthma,chest opening enhances respiratory system ailments related like asthma bronchitis treated practice,6
3820,vajrasana,Improves digestion and relieves constipation.,"It increases the efficiency of the entire digestive system, relieving stomach ailments such as hyperacidity and peptic ulcer.",improves digestion relieves constipation,increases efficiency entire digestive system relieving stomach ailments hyperacidity peptic ulcer,12
3821,bhujangasana,"It tones the ovaries and uterus, and helps in menstrual and some other gynaecological disorders.","can help to improve posture and alignment of the spine, which can be beneficial for those with poor posture or back pain. ",tones ovaries uterus helps menstrual gynaecological disorders,help improve posture alignment spine beneficial poor posture back pain,11
3822,paschimottanasana,can help to calm the mind and reduce stress and anxiety.,Stretches the hamstrings,help calm mind reduce stress anxiety,stretches hamstrings,40
3823,padmasana,helps diabetes.,can help to increase spinal flexibility and mobility.,helps diabetes,help increase spinal flexibility mobility,1
3824,vajrasana,Relieves knee and joint pain.,Improves Digestion,relieves knee joint pain,improves digestion,12
3825,ananda madirasana,Relieves knee and joint pain. Helps in reducing stress and anxiety.,Improves Digestion,relieves knee joint pain helps reducing stress anxiety,improves digestion,2
3826,vajrasana,Relieves knee and joint pain.,It is the best meditation asana for people suffering from sciatica.,relieves knee joint pain,best meditation asana people suffering sciatica,12
3827,paschimottanasana,The stretching and lengthening of the spine in this pose can help to improve posture and reduce back pain.,It stimulates circulation to the nerves and muscles of the spine.,stretching lengthening spine pose help improve posture reduce back pain,stimulates circulation nerves muscles spine,40
3828,ardha matsyendrasana,"Regulates the digestive system, thus improving digestion and easing constipation",Stretches the inner thighs.,regulates digestive system thus improving digestion easing constipation,stretches inner thighs,4
3829,kurmasana,"the muscles around the lower back are activated, and the nerves related to the back aches get their share of massage and prana, thus reducing the pain related to lower back.",Reduces symptoms related to sciatic nerve,muscles around lower back activated nerves related back aches get share massage prana thus reducing pain related lower back,reduces symptoms related sciatic nerve,23
3830,parsvakonasana,"Parsvakonasana benefits to strengthen your ankles, legs and knees.",can help to calm the mind and reduce stress and anxiety.,parsvakonasana benefits strengthen ankles legs knees,help calm mind reduce stress anxiety,44
3831,supta vajrasana,can help to improve digestion and relieve constipation by massaging the abdominal organs.,can help to calm the mind and reduce stress and anxiety by promoting relaxation and deep breathing.,help improve digestion relieve constipation massaging abdominal organs,help calm mind reduce stress anxiety promoting relaxation deep breathing,29
3832,ardha matsyendrasana,improves the flexibility of the spine.,useful for slipped disk.,improves flexibility spine,useful slipped disk,4
3833,virasana,Cures rheumatic pains in the knees,the flexibility of the foot around the ankles improves and any pain at the heels with long hours of standing brings great relaxation to the feet.,cures rheumatic pains knees,flexibility foot around ankles improves pain heels long hours standing brings great relaxation feet,14
3834,pada hastasana,makes the body very flexible. It stretches the back and leg muscles.,"can help to activate the parasympathetic nervous system, promoting relaxation and reducing stress and anxiety.",makes body flexible stretches back leg muscles,help activate parasympathetic nervous system promoting relaxation reducing stress anxiety,22
3835,utkata konasana,"Thus, this pose helps women in improving fertility and is also beneficial to those during childbirth.",Breathing is more pronounced with the shoulders and arms opened up.,thus pose helps women improving fertility also beneficial childbirth,breathing pronounced shoulders arms opened,25
3836,supta trivikramasana,"Deeper stretch of the abdominal muscles along with the core muscles, helps to strengthen the internal organs, while stimulating them.","By doing this asana, all the muscles of your legs become very strong.",deeper stretch abdominal muscles along core muscles helps strengthen internal organs stimulating,asana muscles legs become strong,39
3837,vakrasana,Improves digestion by massaging the abdominal organs.,Relieves stress and anxiety by calming the mind.,improves digestion massaging abdominal organs,relieves stress anxiety calming mind,36
3838,upavistha konasana,It strengthens the spine.,it also improves the digestive tract,strengthens spine,also improves digestive tract,26
3839,pavanamuktasana,"Strengthens the core: This pose engages the core muscles, which can help to strengthen and tone the abdominal muscles.",can help to calm the mind and reduce stress and anxiety.,strengthens core pose engages core muscles help strengthen tone abdominal muscles,help calm mind reduce stress anxiety,20
3840,ardha matsyendrasana,useful for slipped disk.,"It tones the nerves of the spine, makes the back muscles supple, relieves lumbago and muscular spasms, and reduces the tendency of adjoining vertebrae to develop inflammatory problems and calcium deposits.",useful slipped disk,tones nerves spine makes back muscles supple relieves lumbago muscular spasms reduces tendency adjoining vertebrae develop inflammatory problems calcium deposits,4
3841,trikonasana,"tretches and strengthens muscles: Trikonasana stretches and strengthens the muscles in the legs, hips, back, and chest.",It improves digestion.,tretches strengthens muscles trikonasana stretches strengthens muscles legs hips back chest,improves digestion,27
3842,bhujangasana,Increases the flexibility of the entire spine,helps diabetes.,increases flexibility entire spine,helps diabetes,11
3843,paschimottanasana,"It tones and massages the entire abdominal and pelvic region including the liver, pancreas, spleen, kidneys and adrenal glands.",It stimulates circulation to the nerves and muscles of the spine.,tones massages entire abdominal pelvic region including liver pancreas spleen kidneys adrenal glands,stimulates circulation nerves muscles spine,40
3844,parsvakonasana,"stimulates the digestive organs, helping to improve digestion and relieve constipation.",can help to calm the mind and reduce stress and anxiety.,stimulates digestive organs helping improve digestion relieve constipation,help calm mind reduce stress anxiety,44
3845,utkata konasana,It widens the uterus before pregnancy and helps during pregnancy.,"This asana massages the organs in the abdomen, particularly the kidneys, the ovaries, urinary system and the prostate gland.",widens uterus pregnancy helps pregnancy,asana massages organs abdomen particularly kidneys ovaries urinary system prostate gland,25
3846,ushtrasana,"The backwardbend loosens up the vertebrae and stimulates the spinal nerves, relieving backache, rounded back and drooping shoulders.",Stretches and opens the front of the body. It also strengthens the back and shoulders.,backwardbend loosens vertebrae stimulates spinal nerves relieving backache rounded back drooping shoulders,stretches opens front body also strengthens back shoulders,6
3847,bhujangasana,"It tones the ovaries and uterus, and helps in menstrual and some other gynaecological disorders.",helps diabetes.,tones ovaries uterus helps menstrual gynaecological disorders,helps diabetes,11
3848,ardha kapotasana,Activates and simulates the entire Endocrine System,removes the excess fat with the gentle stretch of the abdomen and the lower back.,activates simulates entire endocrine system,removes excess fat gentle stretch abdomen lower back,0
3849,dhanurasana,"The liver, abdominal organs and muscles are massaged.","The spinal column is realigned and the ligaments, muscles and nerves are activated, removing stiffness.",liver abdominal organs muscles massaged,spinal column realigned ligaments muscles nerves activated removing stiffness,28
3850,vajrasana,Improves blood circulation in the body.,"mind and the body become stabilized, hence is recommended for pranayama and meditation which later improves concentration and memory.",improves blood circulation body,mind body become stabilized hence recommended pranayama meditation later improves concentration memory,12
3851,trikonasana,It also strengthens the pelvic area and tones the reproductive organs. Regular practice will help to reduce waistline fat.,It stimulates the digestive fire and removes constipation.,also strengthens pelvic area tones reproductive organs regular practice help reduce waistline fat,stimulates digestive fire removes constipation,27
3852,utkata konasana,It builds strength and stability within the lower body and a strong base for the hips and spine.,Utkata Konasana helps to broaden the chest and correct postural defects.,builds strength stability within lower body strong base hips spine,utkata konasana helps broaden chest correct postural defects,25
3853,ardha matsyendrasana,Ardha matysendrasana tones the kidneys and improves secretion of the adrenal glands.,Stretches the inner thighs.,ardha matysendrasana tones kidneys improves secretion adrenal glands,stretches inner thighs,4
3854,ardha matsyendrasana,Helps those experiencing a slipped disc.,"Strengthens shoulders, neck, and hips. ",helps experiencing slipped disc,strengthens shoulders neck hips,4
3855,kati chakrasana,"This asana tones the neck, shoulders, waist, back and hips. It is useful for correcting back stiffness and postural problems.",Stimulates digestion,asana tones neck shoulders waist back hips useful correcting back stiffness postural problems,stimulates digestion,34
3856,parighasana,"it helps the lungs expand to their full capacity when breathing. This allows one to draw in deeper breaths, even when not performing the asana.","helps reduce the frequency and intensity of allergies, over a period of time.",helps lungs expand full capacity breathing allows one draw deeper breaths even performing asana,helps reduce frequency intensity allergies period time,31
3857,ardha chakrasan,"Ardha Chakrasana tones shoulders, thighs, and waist, and helps stretch the abdomen, stomach and intestine muscles.",Alleviates diabetes.,ardha chakrasana tones shoulders thighs waist helps stretch abdomen stomach intestine muscles,alleviates diabetes,46
3858,sarvangasana,"Stimulates the thyroid gland: Sarvangasana can help to stimulate the thyroid gland, which is responsible for regulating metabolism.","It tones the legs, abdomen and reproductive organs, draining stagnant blood and fluid, and increasing circulation to these areas.",stimulates thyroid gland sarvangasana help stimulate thyroid gland responsible regulating metabolism,tones legs abdomen reproductive organs draining stagnant blood fluid increasing circulation areas,13
3859,supta baddha konasana,a restorative yoga posture that provides numerous physical and mental benefits.,"can help to stimulate the abdominal organs, aiding in digestion and elimination.",restorative yoga posture provides numerous physical mental benefits,help stimulate abdominal organs aiding digestion elimination,32
3860,kati chakrasana,The relaxation and twisting movement induces a feeling of lightness and may be used to relieve physical and mental tension at any time during the day.,strengthens and improves the flexibility of the spine and waist.,relaxation twisting movement induces feeling lightness may used relieve physical mental tension time day,strengthens improves flexibility spine waist,34
3861,supta trivikramasana,helps to achieve stability and calmness.,Awareness and Balance improves,helps achieve stability calmness,awareness balance improves,39
3862,paschimottanasana,"stretches the hamstrings and lower back, helping to improve flexibility and reduce tightness in these areas.",It removes excess weightin this area and helps alleviate disorders of the uro-genitalsystem.,stretches hamstrings lower back helping improve flexibility reduce tightness areas,removes excess weightin area helps alleviate disorders urogenitalsystem,40
3863,kati chakrasana,"This asana tones the neck, shoulders, waist, back and hips. It is useful for correcting back stiffness and postural problems.",helps diabetes.,asana tones neck shoulders waist back hips useful correcting back stiffness postural problems,helps diabetes,34
3864,supta trivikramasana,"helps to build flexible hips, knees, and shoulders, it also helps students to achieve sthiram while in the pose. The practice of advanced level poses are mainly done to achieve this stability and calmness.","Supine Splits Pose is believed to activate the Svadisthana (sacral) chakras. Svadisthana is associates with creativity, sexuality, joy, and pleasure also.",helps build flexible hips knees shoulders also helps students achieve sthiram pose practice advanced level poses mainly done achieve stability calmness,supine splits pose believed activate svadisthana sacral chakras svadisthana associates creativity sexuality joy pleasure also,39
3865,sirshasana,Strain on the back is thus alleviated and the reversed flow of blood in the legs and visceral regions aids tissue regeneration.,Encourages deeper respiration,strain back thus alleviated reversed flow blood legs visceral regions aids tissue regeneration,encourages deeper respiration,15
3866,bhujangasana,"It tones the ovaries and uterus, and helps in menstrual and some other gynaecological disorders.",can help to relieve stress and fatigue and improve overall energy levels.,tones ovaries uterus helps menstrual gynaecological disorders,help relieve stress fatigue improve overall energy levels,11
3867,vajrasana,Improves Digestion,helps in digestion and increases the efficiency of the digestive system.,improves digestion,helps digestion increases efficiency digestive system,12
3868,upavistha konasana,Core muscles in the lower abdomen are strengthened.,it also improves the digestive tract,core muscles lower abdomen strengthened,also improves digestive tract,26
3869,paschimottanasana,"stretches the hamstrings and lower back, helping to improve flexibility and reduce tightness in these areas.",Massages the abdominal contents,stretches hamstrings lower back helping improve flexibility reduce tightness areas,massages abdominal contents,40
3870,ardha chakrasan,Ardha Chakrasana helps back and spine muscles,This asana helps relieve shoulder and neck pain.,ardha chakrasana helps back spine muscles,asana helps relieve shoulder neck pain,46
3871,parsvakonasana,"works the quadriceps, hamstrings, and glutes, helping to strengthen and tone the legs.",can help to calm the mind and reduce stress and anxiety.,works quadriceps hamstrings glutes helping strengthen tone legs,help calm mind reduce stress anxiety,44
3872,ardha katicakrasana,"Strengthens the muscles of the back, hips, and legs.",Reduces stiffness in the back and hips. Relieves backache.,strengthens muscles back hips legs,reduces stiffness back hips relieves backache,33
3873,supta baddha konasana,helps diabetes.,"can help to stimulate the abdominal organs, aiding in digestion and elimination.",helps diabetes,help stimulate abdominal organs aiding digestion elimination,32
3874,vakrasana,Tones the waist and abdomen.,Relieves stress and anxiety by calming the mind.,tones waist abdomen,relieves stress anxiety calming mind,36
3875,ushtrasana,Stretches and opens the front of the body. It also strengthens the back and shoulders.,"In this pose, the abdomen and the core are stretched to their sustainable best",stretches opens front body also strengthens back shoulders,pose abdomen core stretched sustainable best,6
3876,trikonasana,Improves balance and stability: The pose helps to improve balance and stability by encouraging proper alignment of the feet and legs.,Trikonasana is a good workout which can get the blocked energies moving and can relieve depression.,improves balance stability pose helps improve balance stability encouraging proper alignment feet legs,trikonasana good workout get blocked energies moving relieve depression,27
3877,ushtrasana,Camel Pose improves spinal mobility,The expansion of the diaphragm is beneficial for respiration.,camel pose improves spinal mobility,expansion diaphragm beneficial respiration,6
3878,supta trivikramasana,"strengthen the hips, the pelvis, and the hip girdle.","Deeper stretch of the abdominal muscles along with the core muscles, helps to strengthen the internal organs, while stimulating them.",strengthen hips pelvis hip girdle,deeper stretch abdominal muscles along core muscles helps strengthen internal organs stimulating,39
